Nutriente,Maiz,Frijol,Trigo,Arroz,Cana_azucar,Cafe,Avena,Cebada,Chia,Amaranto
Nitrogeno,22,53.5,30,22.2,64.81,30,21,24,,
Fosforo,3,7.8,5,3.1,10.1,2.26,4,10,,
Potasio,19,55.5,19,26.2,207.75,36.92,23,19,,
Calcio,3,39.8,3,2.8,17.78,4.26,2.3,10,,
Magnesio,3,8.4,3,2.4,18.51,2.26,3.6,5.2,,
Azufre,4,10,4.5,0.94,17.87,1.21,3.4,4.1,,
