Nutriente,Maíz,Frijol,Trigo,Arroz,Caña de azucar,Café,Avena,Cebada,Chía,Amaranto
Nitrogeno,25.00,,,,,,,,,
Fosforo,3.00,,,,,,,,,
Potasio,4.00,,,,,,,,,
Calcio,0.50,,,,,,,,,
Magnesio,1.00,,,,,,,,,
Azufre,4.50,,,,,,,,,
